,word_count
2579,22
2580,14
2581,15
2582,20
2583,8
2584,25
2585,18
2586,15
2587,26
2588,28
2589,27
2590,21
2591,21
2592,20
2593,18
2594,16
2595,9
2596,7
2597,13
2598,21
2599,9
2600,13
2601,15
2602,8
2603,23
2604,19
2605,25
2606,20
2607,15
2608,14
2609,17
2610,14
2611,16
2612,15
2613,22
2614,16
2615,22
2616,14
2617,24
2618,20
2619,23
2620,18
2621,18
2622,19
2623,13
2624,28
2625,28
2626,19
2627,17
2628,9
2629,23
2630,14
2631,25
2632,13
2633,17
2634,12
2635,15
2636,18
2637,20
2638,17
2639,17
2640,16
2641,20
2642,27
2643,19
2644,13
2645,22
2646,22
2647,23
2648,18
2649,14
2650,10
2651,26
2652,10
2653,10
2654,13
2655,16
2656,22
2657,20
2658,19
2659,14
2660,29
2661,18
2662,20
2663,22
2664,15
2665,19
2666,24
2667,19
2668,15
2669,18
2670,19
2671,18
2672,26
2673,22
2674,13
2675,16
2676,17
2677,20
2678,23
2679,21
2680,16
2681,27
2682,15
2683,21
2684,16
2685,15
2686,22
2687,13
2688,30
2689,14
2690,15
2691,24
2692,18
2693,15
2694,13
2695,17
2696,11
2697,15
2698,11
2699,21
2700,15
2701,24
2702,17
2703,22
2704,24
2705,24
2706,21
2707,23
2708,14
2709,20
2710,22
2711,13
2712,27
2713,25
2714,31
2715,25
2716,13
2717,24
2718,11
2719,21
2720,12
2721,19
2722,8
2723,21
2724,25
2725,12
2726,24
2727,15
2728,24
2729,21
2730,18
2731,28
2732,26
2733,22
2734,27
2735,15
2736,17
2737,15
2738,19
2739,15
2740,15
2741,27
2742,9
2743,11
2744,13
2745,16
2746,19
2747,24
2748,23
2749,24
2750,23
2751,23
2752,16
2753,22
2754,23
2755,28
2756,20
2757,30
2758,16
2759,19
2760,10
2761,18
2762,17
2763,9
2764,17
2765,37
2766,18
2767,26
2768,14
2769,45
2770,13
2771,9
2772,22
2773,16
2774,11
2775,25
2776,20
2777,8
2778,15
2779,19
2780,24
2781,24
2782,16
2783,21
2784,15
2785,28
2786,16
2787,16
2788,19
2789,13
2790,24
2791,36
2792,25
2793,18
2794,23
2795,26
2796,21
2797,14
2798,8
2799,25
2800,20
2801,7
2802,20
2803,22
2804,27
2805,19
2806,25
2807,16
2808,20
2809,22
2810,19
2811,30
2812,17
2813,21
2814,17
2815,19
2816,15
2817,23
2818,27
2819,20
2820,14
2821,14
2822,15
2823,22
2824,20
2825,21
2826,24
2827,11
2828,24
2829,20
2830,23
2831,18
2832,16
2833,18
2834,24
2835,26
2836,17
2837,18
2838,28
2839,21
2840,11
2841,18
2842,19
2843,17
2844,21
2845,19
2846,20
2847,20
2848,30
2849,23
2850,18
2851,22
2852,10
2853,28
2854,14
2855,30
2856,10
2857,11
2858,24
2859,17
2860,21
2861,16
2862,16
2863,21
2864,18
2865,19
2866,24
2867,10
